August 八月
black 黑色(的)
camp 露營
a few 一些
blackboard 黑板
candle 蠟燭
back 背後
badminton 羽毛球
borrow 借入
bow 敬禮
beach 海灘
always 總是
bug 小蟲
Christmas 聖誕節
business 生意
businessman 商人
classroom 教室
cake 蛋糕
difficult 困難的
English 英語
comfortable 舒適的
five 五
floor 地板
everything 每件事
corner 角落
copy 抄寫
cost 價值
corner 角落
couch 沙發
dress 洋裝
excuse 原諒
exercise 運動
course 課程
experience 經驗
cover 覆蓋
fork 叉子
dry 乾的
cowboy 牛仔
crazy 瘋狂的
dumpling 水餃
during 在…期間
famous 有名的
dangerous 危險的
friendly 友善的
daughter 女兒
from 從
February 二月
December 十二月
full 滿的
either 也不
elephant 大象
knowledge 知識
game 比賽
lamp 燈
husband 丈夫
language 語言
vocabulary 單字
lantern 燈籠
important 重要的
giant 巨大的/巨人
healthy 健康的
inside 在…內部
lawyer 律師
interview 訪問、面試
island 島嶼
goose 鵝
jeans 牛仔褲
history 歷史
juice 果汁
library 圖書館
lettuce 萵苣
homework 作業
ground 地面
grow 種植
honest 誠實的
keep 保持
habit 習慣
lonely 寂寞的
kitchen 廚房
however 然而
knife 刀子
hunt 打獵
motorcycle 機車
machine 機器
picnic 野餐
matter 事情
neck 脖子
neighbor 鄰居
pack 包
medicine 藥
medium 中
popcorn 爆米花
popular 受歡迎的
modern 現代化的
problem 問題
perhaps 或許
proud 驕傲的
situation 情況
consecutive 連續的
instructor 講師
approximately 大約
around 大約
assign 分配
adjust 調整
cooperation 合作
take 拿
accept 接受
wrong 錯的
time 時間
limit 限制
exceed 超過
Colten 摳藤
bacon 培根
Jason 劉哲佑
